City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
257,jarwal,27.1667,81.55,64.96,20,0,7.25,IN,1710617332
258,camarinas,43.1311,-9.1817,57.92,96,100,17.67,ES,1710617332
259,tyup,42.7276,78.3648,17.29,64,1,4.92,KG,1710617333
260,queenstown,-31.8976,26.8753,56.41,87,11,5.57,ZA,1710617333
261,raiganj,25.6167,88.1167,73.47,27,0,4.05,IN,1710617333
262,enewetak,11.3474,162.3373,79.23,77,100,7.67,MH,1710617334
263,namibe,-15.1961,12.1522,78.64,59,100,15.39,AO,1710617334
264,chonchi,-42.6128,-73.8092,58.21,60,90,4.65,CL,1710617335
265,khuzdar,27.7384,66.6434,63.23,29,100,2.86,PK,1710617057
266,happy valley-goose bay,53.3168,-60.3315,32.31,93,100,11.5,CA,1710617336
267,priozersk,61.0393,30.1291,43.09,86,100,6.29,RU,1710617336
268,mahina,-17.5065,-149.489,87.57,66,20,11.5,PF,1710617337
269,kongoussi,13.3258,-1.5347,90.81,6,0,10.25,BF,1710617337
270,port moresby,-9.4431,147.1797,76.71,89,100,3.49,PG,1710617079
271,carnarvon,-24.8667,113.6333,84.81,60,84,17.96,AU,1710617338
272,longyearbyen,78.2186,15.6401,-2.36,60,23,17.27,SJ,1710617338
273,novaya igirma,57.1334,103.9112,10.53,96,100,5.46,RU,1710617339
274,amble,55.3333,-1.5833,47.64,93,75,16.11,GB,1710617069
275,pisco,-13.7,-76.2167,78.03,73,0,8.05,PE,1710617340
276,claveria,18.6074,121.0832,73.65,90,43,8.86,PH,1710617340
277,marquette,46.5333,-87.6335,37.81,68,100,11.99,US,1710617341
278,bel ombre,-4.6167,55.4167,80.44,89,75,18.41,SC,1710617341
279,verkhnevilyuysk,63.4453,120.3167,9.97,93,100,9.26,RU,1710617341
280,swakopmund,-22.6833,14.5333,61.65,85,6,7.0,NA,1710617342
281,souillac,-20.5167,57.5167,77.38,83,20,8.05,MU,1710617342
282,chinde,26.8418,88.0763,57.13,20,0,5.97,NP,1710617343
283,suzun,53.7841,82.3116,25.92,94,100,12.28,RU,1710617343
284,san pedro pochutla,15.7333,-96.4667,92.91,35,4,9.53,MX,1710617298
285,nidzica,53.3605,20.4275,47.79,82,97,9.33,PL,1710617344
286,shetpe,44.1667,52.1167,49.64,27,100,21.0,KZ,1710617345
287,freeport,40.6576,-73.5832,60.78,62,0,17.27,US,1710617345
288,turpan,42.9333,89.1667,45.14,27,0,2.73,CN,1710617345
289,camana,-16.6228,-72.7111,76.32,79,54,7.27,PE,1710617346
290,sinabang,2.4803,96.3801,81.25,75,90,2.57,ID,1710617346
291,qusmuryn,52.4503,64.6311,11.35,92,93,5.73,KZ,1710617347
292,tura,25.5198,90.2201,69.24,38,0,2.59,IN,1710617348
293,coquimbo,-29.9533,-71.3436,67.73,63,0,14.97,CL,1710617291
294,hamilton,39.1834,-84.5333,64.22,46,0,17.27,US,1710617349
295,alo,7.4178,6.7371,94.51,42,12,4.32,NG,1710617349
296,madaba,31.5833,35.6667,55.71,46,13,2.86,JO,1710617350
297,zhongxiang,31.1661,112.5831,61.54,93,100,2.93,CN,1710617350
298,mooirivier,-29.2082,29.9946,59.63,96,71,7.11,ZA,1710617351
299,yunfu,22.9306,112.0373,69.13,99,53,3.29,CN,1710617351
300,andergrove,-21.0833,149.1833,75.87,82,32,14.45,AU,1710617352
301,morehead city,34.7229,-76.726,66.22,66,40,10.36,US,1710617353
302,inarajan village,13.2736,144.7484,78.94,88,46,15.19,GU,1710617353
303,soure,-0.7167,-48.5233,81.03,83,100,10.89,BR,1710617353
304,xilin hot,43.9667,116.0333,18.41,79,0,3.6,CN,1710617354
305,sorochinsk,52.4338,53.1583,7.68,91,70,4.38,RU,1710617354
306,la libertad,-2.2333,-80.9,85.66,70,20,6.91,EC,1710617355
307,kirakira,-10.4544,161.9205,80.83,89,100,7.4,SB,1710617120
308,kirkuk,35.4681,44.3922,56.26,49,7,4.07,IQ,1710617356
309,flying fish cove,-10.4217,105.6791,74.88,88,12,5.75,CX,1710617356
310,parham,17.0968,-61.7705,84.04,73,20,10.36,AG,1710617356
311,slutsk,53.0274,27.5597,45.75,75,100,10.85,BY,1710617357
312,palikir - national government center,6.9248,158.1611,81.34,83,100,4.61,FM,1710617357
313,puerto baquerizo moreno,-0.9,-89.6,85.19,74,75,9.22,EC,1710617358
314,tual,-5.6667,132.75,83.71,76,100,19.13,ID,1710617106
315,leova,46.4786,28.2553,48.18,70,100,5.91,MD,1710617359
316,sint michiel liber,12.15,-68.9833,85.82,66,20,17.27,CW,1710617359
317,lebu,-37.6167,-73.65,60.19,70,0,16.93,CL,1710617359
318,suwayr,30.1171,40.3893,67.14,31,4,3.38,SA,1710617360
319,karratha,-20.7377,116.8463,84.43,78,92,14.88,AU,1710617360
320,cannonvale,-20.2833,148.7,78.19,81,98,15.55,AU,1710617361
321,jamestown,42.097,-79.2353,54.52,43,40,11.5,US,1710616990
322,oranjemund,-28.55,16.4333,61.97,87,6,17.11,NA,1710617362
323,iskateley,67.6803,53.1512,25.02,96,100,18.99,RU,1710617362
324,kitimat,54.0524,-128.6534,51.91,70,61,4.41,CA,1710617362
325,daru,-9.0763,143.2092,78.26,87,99,9.15,PG,1710617363
326,patzcuaro,19.5167,-101.6,72.3,15,0,10.74,MX,1710617363
327,kone,-21.0595,164.8658,75.16,91,79,4.92,NC,1710617364
328,vernon,50.2581,-119.2691,58.23,53,41,1.01,CA,1710617364
329,matadi,-5.8167,13.45,85.33,72,88,0.56,CD,1710617364
330,hohhot,40.8106,111.6522,21.49,68,0,4.47,CN,1710617365
331,santa cruz cabralia,-16.2781,-39.0247,88.03,74,20,13.8,BR,1710617221
332,neyriz,29.1988,54.3278,59.47,63,100,5.26,IR,1710617365
333,muisne,0.6,-80.0333,82.96,73,97,11.18,EC,1710617366
334,siwa oasis,29.2041,25.5195,64.47,53,32,11.03,EG,1710617366
335,zeya,53.75,127.2667,2.48,89,8,5.3,RU,1710617367
336,mili,6.0815,171.735,82.0,82,100,19.95,MH,1710617367
337,imaricho-ko,33.2667,129.8833,56.79,73,100,3.27,JP,1710617368
338,forster,-32.1667,152.5167,64.29,100,100,7.94,AU,1710617369
339,hirara,24.8,125.2833,71.46,83,100,8.05,JP,1710617369
340,la'ie,21.6477,-157.9253,75.45,65,5,5.99,US,1710617369
341,hithadhoo,-0.6,73.0833,83.5,68,9,8.55,MV,1710617370
342,mahenge,-8.6833,36.7167,65.48,95,7,2.33,TZ,1710617239
343,guigang,23.0964,109.6092,69.37,94,30,2.48,CN,1710617371
344,emerald,-23.5333,148.1667,66.34,80,9,6.04,AU,1710617371
345,luanco,43.6152,-5.7934,59.86,89,100,3.98,ES,1710617371
346,harstad,68.799,16.5293,23.16,92,100,32.99,NO,1710617372
347,altai,46.3722,96.2583,11.25,61,13,2.53,MN,1710617372
348,leppavirta,62.4901,27.7826,31.95,94,100,7.7,FI,1710617373
349,villa yapacani,-17.4,-63.8333,91.65,53,80,11.05,BO,1710617373
